timestamp,key,event
73579.279295898,LEFT,release
73579.279349617,RIGHT,press
73579.778442093,RIGHT,press
73579.817728742,RIGHT,press
73579.84847917,RIGHT,press
73579.879574555,RIGHT,press
73579.921555007,RIGHT,press
73579.952905008,RIGHT,press
73579.978415172,RIGHT,release
73580.093438715,RIGHT,press
73580.46548391,RIGHT,release
73580.685930485,ATTACK,press
73580.890236763,ATTACK,release
73581.048160915,RIGHT,press
73581.51518667,RIGHT,release
73581.565432524,JUMP,press
73581.578417348,UP,press
73581.878434609,JUMP,release
73581.926894014,UP,release
73582.090091453,RIGHT,press
73582.116409849,JUMP,press
73582.202101732,DOWN,press
73582.25175076,RIGHT,release
73582.251888917,LEFT,press
73582.380254597,JUMP,release
73582.380377213,DOWN,release
73582.522800839,LEFT,release
73582.701903886,LEFT,press
73582.777911831,JUMP,press
73583.022658748,JUMP,release
73583.026698261,LEFT,release
73583.14030607,RIGHT,press
73583.442538669,JUMP,press
73583.652699341,JUMP,release
73583.875080994,RIGHT,release
73584.088121977,UP,press
73584.191029857,JUMP,press
73584.437911256,UP,release
73584.452576986,JUMP,release
73584.62623604,LEFT,press
73584.827466846,RIGHT,press
73584.876849288,LEFT,release
73585.016421636,JUMP,press
73585.239829344,JUMP,release
73585.356419017,RIGHT,release
73585.579714586,RIGHT,press
73585.652162762,JUMP,press
73585.963952625,JUMP,release
73586.115548863,RIGHT,release
73586.115598723,LEFT,press
73586.401165583,JUMP,press
73586.45135379,LEFT,release
73586.478338362,RIGHT,press
73586.564863648,JUMP,release
73586.939830827,RIGHT,release
73587.226529982,ATTACK,press
73587.452319955,ATTACK,release
73587.476781398,RIGHT,press
73587.902643337,RIGHT,release
73588.053776683,RIGHT,press
73588.077488048,JUMP,press
73588.090328682,UP,press
73588.326997666,JUMP,release
73588.343986498,UP,release
73588.390426825,RIGHT,release
73588.62705136,LEFT,press
73588.866174446,JUMP,press
73589.110213708,LEFT,release
73589.126437517,JUMP,release
73589.462152246,LEFT,press
73589.739236163,LEFT,release
73590.027599718,RIGHT,press
73590.392158912,RIGHT,release
73590.502340064,LEFT,press
73590.891331156,LEFT,release
73590.990460325,RIGHT,press
73591.215320838,JUMP,press
73591.551734654,JUMP,release
73591.86619314,RIGHT,release
73592.073963086,LEFT,press
73592.128659,JUMP,press
73592.383438011,JUMP,release
73592.43414708,LEFT,release
73592.634823111,RIGHT,press
73592.81546626,JUMP,press
73593.036080412,JUMP,release
73593.177022008,RIGHT,release
73593.327803592,RIGHT,press
73593.527424347,JUMP,press
73593.76538311,JUMP,release
73593.852982333,RIGHT,release
73594.111329655,LEFT,press
73594.242148156,JUMP,press
73594.541157429,JUMP,release
73594.652063115,LEFT,release
73594.965514259,LEFT,press
73595.127349742,JUMP,press
73595.329179749,LEFT,release
73595.329236235,JUMP,release
73595.654223934,UP,press
73595.840775116,JUMP,press
73595.915849533,RIGHT,press
73595.928194411,UP,release
73596.013237292,ATTACK,press
73596.080174316,JUMP,release
73596.080224257,DOWN,press
73596.23923325,RIGHT,release
73596.289132796,ATTACK,release
73596.339245302,DOWN,release
73596.452580676,UP,press
73596.465671178,JUMP,press
73596.477498907,ATTACK,press
73596.731691994,JUMP,release
73596.754079595,RIGHT,press
73596.754133274,ATTACK,release
73596.985424654,UP,release
73597.002934777,ATTACK,press
73597.064255671,RIGHT,release
73597.255226851,ATTACK,release
73597.285350992,UP,press
73597.339622164,JUMP,press
73597.564297775,JUMP,release
73597.564449475,ATTACK,press
73597.58945113,UP,release
73597.802494451,ATTACK,release
73597.964590923,DOWN,press
73598.153065515,ATTACK,press
73598.367228972,ATTACK,release
73598.576358831,DOWN,release
73598.644188246,DOWN,press
73598.703203647,ATTACK,press
73598.927378901,ATTACK,release
73598.977425438,DOWN,release
73599.027703353,RIGHT,press
73599.261009588,ATTACK,press
73599.310806555,RIGHT,release
73599.477286775,ATTACK,release
73599.490478526,LEFT,press
73599.743056367,ATTACK,press
73599.765044189,LEFT,release
73599.975567311,ATTACK,release
73600.077750358,UP,press
73600.253180648,ATTACK,press
73600.355044357,UP,release
73600.46452946,JUMP,press
73600.488945514,ATTACK,release
73600.764515862,ATTACK,press
73600.789155961,JUMP,release
73601.004754145,ATTACK,release
73601.06595573,RIGHT,press
73601.277318397,RIGHT,release
73601.362544799,ATTACK,press
73601.439558125,JUMP,press
73601.515502147,RIGHT,press
73601.565962748,ATTACK,release
73601.615860398,JUMP,release
73601.739681386,RIGHT,release
73601.851949596,ATTACK,press
73602.078221423,ATTACK,release
73602.078368325,RIGHT,press
73602.154184872,RIGHT,release
73602.366167413,LEFT,press
73602.403772802,JUMP,press
73602.414736897,ATTACK,press
73602.602739664,JUMP,release
73602.653199944,ATTACK,release
73602.702840997,LEFT,release
73602.910584338,ATTACK,press
73603.015239238,RIGHT,press
73603.110666241,ATTACK,release
73603.265139246,RIGHT,release
73603.389635516,ATTACK,press
73603.578075499,RIGHT,press
73603.58938512,ATTACK,release
73603.62866373,RIGHT,release
73603.772776893,UP,press
73603.974939662,UP,release
73604.039956904,RIGHT,press
73604.141036121,ATTACK,press
73604.277801259,RIGHT,release
73604.339717045,ATTACK,release
73604.605195358,RIGHT,press
73604.964730826,ATTACK,press
73605.077559975,RIGHT,release
73605.142651878,ATTACK,release
73605.315216541,LEFT,press
73605.441158786,ATTACK,press
73605.529522084,LEFT,release
73605.684803862,ATTACK,release
73605.78959389,RIGHT,press
73605.991539559,JUMP,press
73606.016834216,ATTACK,press
73606.154358273,UP,press
73606.202880332,JUMP,release
73606.251555934,ATTACK,release
73606.252702327,RIGHT,release
73606.36729231,UP,release
73606.539789253,ATTACK,press
73606.639781474,UP,press
73606.768362838,ATTACK,release
73606.870630743,UP,release
73607.141005963,UP,press
73607.189329144,JUMP,press
73607.318375959,ATTACK,press
73607.441947102,RIGHT,press
73607.464566319,JUMP,release
73607.502738643,UP,release
73607.564636389,ATTACK,release
73607.627503578,RIGHT,release
73607.814978281,ATTACK,press
73607.928288433,JUMP,press
73608.029360389,ATTACK,release
73608.159470605,JUMP,release
73608.552761934,RIGHT,press
73608.752727004,RIGHT,release
73608.752866217,ATTACK,press
73608.914733309,ATTACK,release
73608.990367783,JUMP,press
73609.177765879,JUMP,release
73609.820368479,RIGHT,press
73610.001636957,RIGHT,release
73610.190282436,JUMP,press
73610.359228473,DOWN,press
73610.427575319,JUMP,release
73610.466778209,ATTACK,press
73610.664947648,ATTACK,release
73610.714988284,DOWN,release
73610.916138172,JUMP,press
73611.102611359,JUMP,release
73611.252073878,DOWN,press
73611.371399966,JUMP,press
73611.391171613,ATTACK,press
73611.60536057,JUMP,release
73611.626871003,ATTACK,release
73611.777605892,DOWN,release
73612.054719761,JUMP,press
73612.093495676,DOWN,press
73612.264801255,JUMP,release
73612.317023384,ATTACK,press
73612.559307905,ATTACK,release
73612.615099448,DOWN,release
73612.790580061,LEFT,press
73612.820492113,JUMP,press
73613.080425854,JUMP,release
73613.114664497,LEFT,release
73613.240137171,ATTACK,press
73613.305046826,DOWN,press
73613.397697772,JUMP,press
73613.465220358,ATTACK,release
73613.590308488,JUMP,release
73613.641174613,DOWN,release
73613.828819742,ATTACK,press
73613.844167423,DOWN,press
73614.085312912,ATTACK,release
73614.1379816,DOWN,release
73614.292992234,JUMP,press
73614.368434947,UP,press
73614.516129743,ATTACK,press
73614.727818784,ATTACK,release
73614.789881326,JUMP,release
73614.808761643,UP,release
73615.063749544,JUMP,press
73615.090314322,DOWN,press
73615.14318723,ATTACK,press
73615.425210096,JUMP,release
73615.455449314,ATTACK,release
73615.49011616,DOWN,release
73615.653234001,JUMP,press
73615.952857991,JUMP,release
73615.996566272,RIGHT,press
73616.302807189,RIGHT,release
73616.378265972,ATTACK,press
73616.615274378,ATTACK,release
73616.716891958,JUMP,press
73616.927571995,JUMP,release
73616.978836835,UP,press
73617.015290901,ATTACK,press
73617.129222974,UP,release
73617.242809713,ATTACK,release
73617.402147306,RIGHT,press
73617.580134676,RIGHT,release
73617.903265726,RIGHT,press
73617.903307701,JUMP,press
73618.204145863,JUMP,release
73618.466456313,RIGHT,release
73618.881788658,LEFT,press
73619.142332312,LEFT,release
73619.690226508,UP,press
73619.841573422,JUMP,press
73620.064921136,JUMP,release
73620.12790651,UP,release
73620.154295446,RIGHT,press
73620.578530146,RIGHT,release
73620.719817044,UP,press
73620.803291003,UP,release
73621.628241083,ATTACK,press
73621.830583582,ATTACK,release
73622.252475452,LEFT,press
73622.453061643,LEFT,release
73622.765543934,JUMP,press
73622.794336031,RIGHT,press
73623.015205251,JUMP,release
73623.299024304,RIGHT,press
73623.329056181,RIGHT,press
73623.358773205,RIGHT,press
73623.388904267,RIGHT,press
73623.421325233,RIGHT,press
73623.455579693,RIGHT,press
73623.486418567,RIGHT,press
73623.517514939,RIGHT,press
73623.556787645,RIGHT,press
73623.586745526,RIGHT,press
73623.617356439,RIGHT,press
73623.640103126,RIGHT,release
73623.813731139,LEFT,press
73624.019879556,LEFT,release
73624.125761512,RIGHT,press
73624.603751207,RIGHT,release
73625.467203676,RIGHT,press
73625.840114801,RIGHT,release
73626.253755146,LEFT,press
73626.352757611,LEFT,release
73626.589110696,ATTACK,press
73626.728182821,ATTACK,release
73627.240615342,LEFT,press
73627.490459943,LEFT,release
73627.918238355,RIGHT,press
73628.155549066,RIGHT,release
73628.866334469,LEFT,press
73629.040225134,LEFT,release
73630.190736587,RIGHT,press
73630.371582493,RIGHT,release
73630.528328901,LEFT,press
73631.028745738,LEFT,press
73631.058551036,LEFT,press
73631.095167166,LEFT,press
73631.132063094,LEFT,press
73631.161814692,LEFT,press
73631.192737319,LEFT,press
73631.22232832,LEFT,press
73631.236596171,LEFT,release
73631.67761638,RIGHT,press
73632.177748535,RIGHT,press
73632.206755749,RIGHT,release
73632.702627029,ATTACK,press
73632.954165112,ATTACK,release
73633.365896231,RIGHT,press
73633.866705471,RIGHT,press
73633.907752461,RIGHT,press
73633.937669163,RIGHT,press
73633.969319686,RIGHT,press
73633.998555174,RIGHT,press
73634.02947141,RIGHT,press
73634.059771584,RIGHT,press
73634.079063047,RIGHT,release
73634.342732525,RIGHT,press
73634.66584185,RIGHT,release
73635.052700289,JUMP,press
73635.141847449,RIGHT,press
73635.580218846,JUMP,release
73635.640618923,RIGHT,press
73635.672637126,RIGHT,press
73635.678416269,RIGHT,release
73636.530387367,JUMP,press
73636.765493879,JUMP,release
73637.0059905,LEFT,press
73637.453487101,LEFT,release
73637.678345872,LEFT,press
73637.702928284,JUMP,press
73638.053713551,JUMP,release
73638.290581289,LEFT,release
73638.471366174,UP,press
73638.490960721,JUMP,press
73638.616075726,RIGHT,press
73638.753816678,ATTACK,press
73638.765512258,JUMP,release
73638.965687745,UP,release
73639.003922913,RIGHT,release
73639.003983924,ATTACK,release
73639.20834542,DOWN,press
73639.340792071,ATTACK,press
73639.340840037,JUMP,press
73639.606887715,JUMP,release
73639.631760134,ATTACK,release
73639.778554013,DOWN,release
73639.828759992,RIGHT,press
73640.028939919,JUMP,press
73640.115803605,JUMP,release
